Indicator Code: CG0670
"Indicator Name: Trachea, bronchus, lung cancers"
Export date: 10/10/2024 5:16:29 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: C33-C34"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
NAC,North America and the Caribbean,USA,United States of America,2005,All,Age00,[0],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2005,All,Age01_04,[1-4],3.00000000,0.06307822,,0.01852184,
NAC,North America and the Caribbean,USA,United States of America,2005,All,Age05_09,[5-9],1.00000000,0.03524850,,0.00511802,
NAC,North America and the Caribbean,USA,United States of America,2005,All,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2005,All,Age15_19,[15-19],4.00000000,0.02919069,,0.01901232,
NAC,North America and the Caribbean,USA,United States of America,2005,All,Age20_24,[20-24],12.00000000,0.05844820,,0.05704002,
NAC,North America and the Caribbean,USA,United States of America,2005,All,Age25_29,[25-29],39.00000000,0.19930499,,0.19436150,
NAC,North America and the Caribbean,USA,United States of America,2005,All,Age30_34,[30-34],94.00000000,0.42044997,,0.46819254,
NAC,North America and the Caribbean,USA,United States of America,2005,All,Age35_39,[35-39],441.00000000,1.40356461,,2.09980462,
NAC,North America and the Caribbean,USA,United States of America,2005,All,Age40_44,[40-44],1882.00000000,3.52665605,,8.23253724,
NAC,North America and the Caribbean,USA,United States of America,2005,All,Age45_49,[45-49],4596.00000000,5.78965270,,20.44072716,
NAC,North America and the Caribbean,USA,United States of America,2005,All,Age50_54,[50-54],8028.00000000,7.70833533,,40.14453232,
NAC,North America and the Caribbean,USA,United States of America,2005,All,Age55_59,[55-59],12807.00000000,10.04643939,,73.79991723,
NAC,North America and the Caribbean,USA,United States of America,2005,All,Age60_64,[60-64],18556.00000000,12.55285037,,142.71800895,
NAC,North America and the Caribbean,USA,United States of America,2005,All,Age65_69,[65-69],22157.00000000,12.86432569,,218.69538044,
NAC,North America and the Caribbean,USA,United States of America,2005,All,Age70_74,[70-74],26233.00000000,11.60141342,,308.31996121,
NAC,North America and the Caribbean,USA,United States of America,2005,All,Age75_79,[75-79],27591.00000000,8.96137557,,372.25709823,
NAC,North America and the Caribbean,USA,United States of America,2005,All,Age80_84,[80-84],21441.00000000,5.66058657,,379.98783883,
NAC,North America and the Caribbean,USA,United States of America,2005,All,Age85_over,[85+],15404.00000000,2.19065402,,302.27997279,
NAC,North America and the Caribbean,USA,United States of America,2005,All,Age_unknown,[Unknown],3.00000000,1.17647059,,,
NAC,North America and the Caribbean,USA,United States of America,2005,Male,Age00,[0],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2005,Male,Age01_04,[1-4],3.00000000,0.10849910,,0.03623096,
NAC,North America and the Caribbean,USA,United States of America,2005,Male,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2005,Male,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2005,Male,Age15_19,[15-19],4.00000000,0.04046126,,0.03707060,
NAC,North America and the Caribbean,USA,United States of America,2005,Male,Age20_24,[20-24],5.00000000,0.03200410,,0.04605351,
NAC,North America and the Caribbean,USA,United States of America,2005,Male,Age25_29,[25-29],19.00000000,0.13340823,,0.18503786,
NAC,North America and the Caribbean,USA,United States of America,2005,Male,Age30_34,[30-34],58.00000000,0.38561266,,0.57125461,
NAC,North America and the Caribbean,USA,United States of America,2005,Male,Age35_39,[35-39],235.00000000,1.17435411,,2.22466778,
NAC,North America and the Caribbean,USA,United States of America,2005,Male,Age40_44,[40-44],962.00000000,2.88906241,,8.45590588,
NAC,North America and the Caribbean,USA,United States of America,2005,Male,Age45_49,[45-49],2535.00000000,5.14417906,,22.82431803,
NAC,North America and the Caribbean,USA,United States of America,2005,Male,Age50_54,[50-54],4792.00000000,7.35048241,,48.95400653,
NAC,North America and the Caribbean,USA,United States of America,2005,Male,Age55_59,[55-59],7668.00000000,9.83228189,,91.01408060,
NAC,North America and the Caribbean,USA,United States of America,2005,Male,Age60_64,[60-64],10995.00000000,12.57419288,,177.29158443,
NAC,North America and the Caribbean,USA,United States of America,2005,Male,Age65_69,[65-69],13007.00000000,13.21688412,,275.46750799,
NAC,North America and the Caribbean,USA,United States of America,2005,Male,Age70_74,[70-74],15200.00000000,12.21914064,,399.20107259,
