Indicator Code: CG0670
"Indicator Name: Trachea, bronchus, lung cancers"
Export date: 10/10/2024 5:26:55 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: C33-C34"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
AS,Asia,KOR,Republic of Korea,2005,All,Age00,[0],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2005,All,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2005,All,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2005,All,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2005,All,Age15_19,[15-19],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2005,All,Age20_24,[20-24],4.00000000,0.21401819,,0.10518148,
AS,Asia,KOR,Republic of Korea,2005,All,Age25_29,[25-29],4.00000000,0.17331023,,0.10270884,
AS,Asia,KOR,Republic of Korea,2005,All,Age30_34,[30-34],36.00000000,1.03746398,,0.81063736,
AS,Asia,KOR,Republic of Korea,2005,All,Age35_39,[35-39],81.00000000,1.60491381,,1.83328595,
AS,Asia,KOR,Republic of Korea,2005,All,Age40_44,[40-44],186.00000000,2.29714709,,4.28723260,
AS,Asia,KOR,Republic of Korea,2005,All,Age45_49,[45-49],421.00000000,3.56507748,,10.56042230,
AS,Asia,KOR,Republic of Korea,2005,All,Age50_54,[50-54],620.00000000,5.06701536,,21.91119323,
AS,Asia,KOR,Republic of Korea,2005,All,Age55_59,[55-59],1006.00000000,7.31636364,,44.71170727,
AS,Asia,KOR,Republic of Korea,2005,All,Age60_64,[60-64],1738.00000000,8.87504468,,86.99121028,
AS,Asia,KOR,Republic of Korea,2005,All,Age65_69,[65-69],2585.00000000,9.77020183,,154.15515224,
AS,Asia,KOR,Republic of Korea,2005,All,Age70_74,[70-74],2709.00000000,8.91470317,,233.00980895,
AS,Asia,KOR,Republic of Korea,2005,All,Age75_79,[75-79],2260.00000000,6.73480943,,310.79005307,
AS,Asia,KOR,Republic of Korea,2005,All,Age80_84,[80-84],1486.00000000,4.39410965,,356.91896787,
AS,Asia,KOR,Republic of Korea,2005,All,Age85_over,[85+],676.00000000,1.73694083,,279.65779153,
AS,Asia,KOR,Republic of Korea,2005,All,Age_unknown,[Unknown],0.00000000,0.00000000,,,
AS,Asia,KOR,Republic of Korea,2005,Male,Age00,[0],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2005,Male,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2005,Male,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2005,Male,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2005,Male,Age15_19,[15-19],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2005,Male,Age20_24,[20-24],2.00000000,0.17406440,,0.10207368,
AS,Asia,KOR,Republic of Korea,2005,Male,Age25_29,[25-29],2.00000000,0.13651877,,0.10055122,
AS,Asia,KOR,Republic of Korea,2005,Male,Age30_34,[30-34],15.00000000,0.66079295,,0.66200585,
AS,Asia,KOR,Republic of Korea,2005,Male,Age35_39,[35-39],47.00000000,1.37467096,,2.09040792,
