Indicator Code: CG0670
"Indicator Name: Trachea, bronchus, lung cancers"
Export date: 10/10/2024 5:26:29 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: C33-C34"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
AS,Asia,KOR,Republic of Korea,2004,All,Age00,[0],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2004,All,Age01_04,[1-4],1.00000000,0.13477089,,0.04454127,
AS,Asia,KOR,Republic of Korea,2004,All,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2004,All,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2004,All,Age15_19,[15-19],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2004,All,Age20_24,[20-24],4.00000000,0.22111664,,0.10047224,
AS,Asia,KOR,Republic of Korea,2004,All,Age25_29,[25-29],8.00000000,0.36264733,,0.20563967,
AS,Asia,KOR,Republic of Korea,2004,All,Age30_34,[30-34],39.00000000,1.16801438,,0.85787177,
AS,Asia,KOR,Republic of Korea,2004,All,Age35_39,[35-39],97.00000000,1.80801491,,2.22826534,
AS,Asia,KOR,Republic of Korea,2004,All,Age40_44,[40-44],220.00000000,2.45152663,,4.99447203,
AS,Asia,KOR,Republic of Korea,2004,All,Age45_49,[45-49],396.00000000,3.33839150,,10.46137297,
AS,Asia,KOR,Republic of Korea,2004,All,Age50_54,[50-54],607.00000000,4.97337157,,23.03024095,
AS,Asia,KOR,Republic of Korea,2004,All,Age55_59,[55-59],965.00000000,6.86637256,,44.89217736,
AS,Asia,KOR,Republic of Korea,2004,All,Age60_64,[60-64],1756.00000000,8.43541336,,86.94403597,
AS,Asia,KOR,Republic of Korea,2004,All,Age65_69,[65-69],2506.00000000,9.25508734,,154.57771478,
AS,Asia,KOR,Republic of Korea,2004,All,Age70_74,[70-74],2543.00000000,8.50075213,,234.37550403,
AS,Asia,KOR,Republic of Korea,2004,All,Age75_79,[75-79],2114.00000000,6.49482319,,310.21584507,
AS,Asia,KOR,Republic of Korea,2004,All,Age80_84,[80-84],1373.00000000,4.11916477,,343.98526851,
AS,Asia,KOR,Republic of Korea,2004,All,Age85_over,[85+],677.00000000,1.80432291,,296.72029839,
AS,Asia,KOR,Republic of Korea,2004,All,Age_unknown,[Unknown],0.00000000,0.00000000,,,
AS,Asia,KOR,Republic of Korea,2004,Male,Age00,[0],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2004,Male,Age01_04,[1-4],1.00000000,0.23980815,,0.08528726,
AS,Asia,KOR,Republic of Korea,2004,Male,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2004,Male,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2004,Male,Age15_19,[15-19],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2004,Male,Age20_24,[20-24],2.00000000,0.16433854,,0.09776351,
AS,Asia,KOR,Republic of Korea,2004,Male,Age25_29,[25-29],4.00000000,0.26990553,,0.20136049,
AS,Asia,KOR,Republic of Korea,2004,Male,Age30_34,[30-34],22.00000000,0.98831986,,0.94836048,
AS,Asia,KOR,Republic of Korea,2004,Male,Age35_39,[35-39],60.00000000,1.59616919,,2.70650034,
AS,Asia,KOR,Republic of Korea,2004,Male,Age40_44,[40-44],138.00000000,2.10687023,,6.13528026,
AS,Asia,KOR,Republic of Korea,2004,Male,Age45_49,[45-49],273.00000000,3.06362922,,14.20566156,
AS,Asia,KOR,Republic of Korea,2004,Male,Age50_54,[50-54],459.00000000,4.98750407,,34.62927811,
