Indicator Code: CG0670
"Indicator Name: Trachea, bronchus, lung cancers"
Export date: 10/10/2024 5:11:09 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: C33-C34"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
NAC,North America and the Caribbean,USA,United States of America,2000,All,Age00,[0],2.00000000,0.00713394,,0.05255347,
NAC,North America and the Caribbean,USA,United States of America,2000,All,Age01_04,[1-4],2.00000000,0.04016871,,0.01301223,
NAC,North America and the Caribbean,USA,United States of America,2000,All,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2000,All,Age10_14,[10-14],1.00000000,0.02403846,,0.00487138,
NAC,North America and the Caribbean,USA,United States of America,2000,All,Age15_19,[15-19],3.00000000,0.02211900,,0.01483688,
NAC,North America and the Caribbean,USA,United States of America,2000,All,Age20_24,[20-24],19.00000000,0.10707845,,0.10018983,
NAC,North America and the Caribbean,USA,United States of America,2000,All,Age25_29,[25-29],37.00000000,0.20926418,,0.19090531,
NAC,North America and the Caribbean,USA,United States of America,2000,All,Age30_34,[30-34],160.00000000,0.70267896,,0.78009251,
NAC,North America and the Caribbean,USA,United States of America,2000,All,Age35_39,[35-39],664.00000000,1.83729939,,2.92425166,
NAC,North America and the Caribbean,USA,United States of America,2000,All,Age40_44,[40-44],2092.00000000,3.89876626,,9.32186423,
NAC,North America and the Caribbean,USA,United States of America,2000,All,Age45_49,[45-49],4220.00000000,5.95775920,,21.00296211,
NAC,North America and the Caribbean,USA,United States of America,2000,All,Age50_54,[50-54],7695.00000000,8.59690087,,43.75752180,
NAC,North America and the Caribbean,USA,United States of America,2000,All,Age55_59,[55-59],12453.00000000,11.66546449,,92.45512571,
NAC,North America and the Caribbean,USA,United States of America,2000,All,Age60_64,[60-64],17268.00000000,12.87743764,,159.80828928,
NAC,North America and the Caribbean,USA,United States of America,2000,All,Age65_69,[65-69],23438.00000000,12.89651643,,245.84768835,
NAC,North America and the Caribbean,USA,United States of America,2000,All,Age70_74,[70-74],28820.00000000,11.10725710,,325.37614419,
NAC,North America and the Caribbean,USA,United States of America,2000,All,Age75_79,[75-79],27305.00000000,8.08557892,,368.19968357,
NAC,North America and the Caribbean,USA,United States of America,2000,All,Age80_84,[80-84],18531.00000000,5.10854733,,374.71435386,
NAC,North America and the Caribbean,USA,United States of America,2000,All,Age85_over,[85+],12806.00000000,1.94569496,,302.05772402,
NAC,North America and the Caribbean,USA,United States of America,2000,All,Age_unknown,[Unknown],5.00000000,1.40449438,,,
NAC,North America and the Caribbean,USA,United States of America,2000,Male,Age00,[0],2.00000000,0.01272427,,0.10261583,
NAC,North America and the Caribbean,USA,United States of America,2000,Male,Age01_04,[1-4],1.00000000,0.03541076,,0.01271987,
NAC,North America and the Caribbean,USA,United States of America,2000,Male,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2000,Male,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2000,Male,Age15_19,[15-19],3.00000000,0.03093740,,0.02887113,
NAC,North America and the Caribbean,USA,United States of America,2000,Male,Age20_24,[20-24],11.00000000,0.08224914,,0.11354471,
NAC,North America and the Caribbean,USA,United States of America,2000,Male,Age25_29,[25-29],28.00000000,0.22188763,,0.28575044,
NAC,North America and the Caribbean,USA,United States of America,2000,Male,Age30_34,[30-34],74.00000000,0.48457861,,0.71693137,
NAC,North America and the Caribbean,USA,United States of America,2000,Male,Age35_39,[35-39],370.00000000,1.59126097,,3.26892780,
NAC,North America and the Caribbean,USA,United States of America,2000,Male,Age40_44,[40-44],1172.00000000,3.44250257,,10.53094850,
NAC,North America and the Caribbean,USA,United States of America,2000,Male,Age45_49,[45-49],2540.00000000,5.62930786,,25.68379047,
NAC,North America and the Caribbean,USA,United States of America,2000,Male,Age50_54,[50-54],4583.00000000,8.29097093,,53.24287814,
NAC,North America and the Caribbean,USA,United States of America,2000,Male,Age55_59,[55-59],7546.00000000,11.71284439,,115.93661374,
NAC,North America and the Caribbean,USA,United States of America,2000,Male,Age60_64,[60-64],10391.00000000,13.17050294,,202.29228246,
NAC,North America and the Caribbean,USA,United States of America,2000,Male,Age65_69,[65-69],14189.00000000,13.65180161,,322.45074383,
NAC,North America and the Caribbean,USA,United States of America,2000,Male,Age70_74,[70-74],17193.00000000,11.98343939,,440.51723431,
NAC,North America and the Caribbean,USA,United States of America,2000,Male,Age75_79,[75-79],15726.00000000,9.07302382,,516.54548464,
NAC,North America and the Caribbean,USA,United States of America,2000,Male,Age80_84,[80-84],10240.00000000,6.13570453,,558.06947202,
NAC,North America and the Caribbean,USA,United States of America,2000,Male,Age85_over,[85+],6395.00000000,2.97799220,,521.19074359,
NAC,North America and the Caribbean,USA,United States of America,2000,Male,Age_unknown,[Unknown],5.00000000,1.73010381,,,
NAC,North America and the Caribbean,USA,United States of America,2000,Female,Age00,[0],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2000,Female,Age01_04,[1-4],1.00000000,0.04640371,,0.01331836,
NAC,North America and the Caribbean,USA,United States of America,2000,Female,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2000,Female,Age10_14,[10-14],1.00000000,0.06215040,,0.00999213,
NAC,North America and the Caribbean,USA,United States of America,2000,Female,Age15_19,[15-19],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2000,Female,Age20_24,[20-24],8.00000000,0.18306636,,0.08624233,
NAC,North America and the Caribbean,USA,United States of America,2000,Female,Age25_29,[25-29],9.00000000,0.17779534,,0.09392047,
NAC,North America and the Caribbean,USA,United States of America,2000,Female,Age30_34,[30-34],86.00000000,1.14681958,,0.84407907,
NAC,North America and the Caribbean,USA,United States of America,2000,Female,Age35_39,[35-39],294.00000000,2.28119181,,2.58167216,
NAC,North America and the Caribbean,USA,United States of America,2000,Female,Age40_44,[40-44],920.00000000,4.69076633,,8.13240906,
NAC,North America and the Caribbean,USA,United States of America,2000,Female,Age45_49,[45-49],1680.00000000,6.53416825,,16.46590998,
NAC,North America and the Caribbean,USA,United States of America,2000,Female,Age50_54,[50-54],3112.00000000,9.09090909,,34.66318787,
NAC,North America and the Caribbean,USA,United States of America,2000,Female,Age55_59,[55-59],4907.00000000,11.59334688,,70.49772804,
NAC,North America and the Caribbean,USA,United States of America,2000,Female,Age60_64,[60-64],6877.00000000,12.45855903,,121.31272469,
NAC,North America and the Caribbean,USA,United States of America,2000,Female,Age65_69,[65-69],9249.00000000,11.88756362,,180.18060139,
NAC,North America and the Caribbean,USA,United States of America,2000,Female,Age70_74,[70-74],11627.00000000,10.02353509,,234.67417387,
NAC,North America and the Caribbean,USA,United States of America,2000,Female,Age75_79,[75-79],11579.00000000,7.04434427,,264.88342178,
NAC,North America and the Caribbean,USA,United States of America,2000,Female,Age80_84,[80-84],8291.00000000,4.23327700,,266.55135719,
NAC,North America and the Caribbean,USA,United States of America,2000,Female,Age85_over,[85+],6411.00000000,1.44577824,,212.80699093,
NAC,North America and the Caribbean,USA,United States of America,2000,Female,Age_unknown,[Unknown],0.00000000,0.00000000,,,
