Indicator Code: CG0670
"Indicator Name: Trachea, bronchus, lung cancers"
Export date: 10/10/2024 5:03:35 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: C33-C34"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
AS,Asia,JPN,Japan,2001,All,Age00,[0],0.00000000,0.00000000,,0.00000000,
AS,Asia,JPN,Japan,2001,All,Age01_04,[1-4],1.00000000,0.07479432,,0.02137666,
AS,Asia,JPN,Japan,2001,All,Age05_09,[5-9],1.00000000,0.14104372,,0.01680108,
AS,Asia,JPN,Japan,2001,All,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
AS,Asia,JPN,Japan,2001,All,Age15_19,[15-19],4.00000000,0.17293558,,0.05497526,
AS,Asia,JPN,Japan,2001,All,Age20_24,[20-24],6.00000000,0.16366612,,0.07462687,
AS,Asia,JPN,Japan,2001,All,Age25_29,[25-29],13.00000000,0.27589134,,0.13666947,
AS,Asia,JPN,Japan,2001,All,Age30_34,[30-34],64.00000000,1.13757554,,0.70083224,
AS,Asia,JPN,Japan,2001,All,Age35_39,[35-39],177.00000000,2.50601727,,2.25420275,
AS,Asia,JPN,Japan,2001,All,Age40_44,[40-44],375.00000000,3.68369352,,4.90645035,
AS,Asia,JPN,Japan,2001,All,Age45_49,[45-49],827.00000000,4.51025305,,9.80090069,
AS,Asia,JPN,Japan,2001,All,Age50_54,[50-54],2148.00000000,5.68329144,,19.62360680,
AS,Asia,JPN,Japan,2001,All,Age55_59,[55-59],2941.00000000,6.76714220,,35.53649106,
AS,Asia,JPN,Japan,2001,All,Age60_64,[60-64],4313.00000000,7.33628168,,54.74044930,
AS,Asia,JPN,Japan,2001,All,Age65_69,[65-69],7389.00000000,8.45297610,,101.93130087,
AS,Asia,JPN,Japan,2001,All,Age70_74,[70-74],10578.00000000,9.04659278,,175.16145057,
AS,Asia,JPN,Japan,2001,All,Age75_79,[75-79],10375.00000000,7.64492193,,235.04757589,
AS,Asia,JPN,Japan,2001,All,Age80_84,[80-84],8064.00000000,5.52495273,,297.45481372,
AS,Asia,JPN,Japan,2001,All,Age85_over,[85+],7757.00000000,2.71787307,,326.74810447,
AS,Asia,JPN,Japan,2001,All,Age_unknown,[Unknown],1.00000000,0.14727541,,,
AS,Asia,JPN,Japan,2001,Male,Age00,[0],0.00000000,0.00000000,,0.00000000,
AS,Asia,JPN,Japan,2001,Male,Age01_04,[1-4],1.00000000,0.13422819,,0.04173623,
