Indicator Code: CG0670
"Indicator Name: Trachea, bronchus, lung cancers"
Export date: 10/10/2024 5:21:01 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: C33-C34"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2002,All,Age00,[0],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2002,All,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2002,All,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2002,All,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2002,All,Age15_19,[15-19],1.00000000,0.06548788,,0.02661539,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2002,All,Age20_24,[20-24],1.00000000,0.04692633,,0.02744795,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2002,All,Age25_29,[25-29],2.00000000,0.07945967,,0.05298238,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2002,All,Age30_34,[30-34],21.00000000,0.57283142,,0.46780916,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2002,All,Age35_39,[35-39],65.00000000,1.30653266,,1.37967865,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2002,All,Age40_44,[40-44],213.00000000,3.14762820,,4.96197797,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2002,All,Age45_49,[45-49],541.00000000,5.44703987,,14.25348868,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2002,All,Age50_54,[50-54],1295.00000000,8.42550423,,33.57981871,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2002,All,Age55_59,[55-59],2327.00000000,10.22812184,,63.66549650,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2002,All,Age60_64,[60-64],3410.00000000,11.19317249,,117.89982042,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2002,All,Age65_69,[65-69],4664.00000000,10.54988803,,177.88565507,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2002,All,Age70_74,[70-74],6318.00000000,9.42633346,,269.36469071,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2002,All,Age75_79,[75-79],6759.00000000,7.17729261,,347.71934897,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2002,All,Age80_84,[80-84],4820.00000000,4.47464676,,344.21392110,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2002,All,Age85_over,[85+],3269.00000000,1.72363794,,290.15376641,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2002,All,Age_unknown,[Unknown],0.00000000,0.00000000,,,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2002,Male,Age00,[0],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2002,Male,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
