Indicator Code: CG0670
"Indicator Name: Trachea, bronchus, lung cancers"
Export date: 10/10/2024 5:18:13 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: C33-C34"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,All,Age00,[0],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,All,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,All,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,All,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,All,Age15_19,[15-19],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,All,Age20_24,[20-24],3.00000000,0.14955135,,0.07635257,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,All,Age25_29,[25-29],4.00000000,0.18770530,,0.10633569,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,All,Age30_34,[30-34],17.00000000,0.52910053,,0.40730094,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,All,Age35_39,[35-39],65.00000000,1.34826799,,1.40028023,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,All,Age40_44,[40-44],223.00000000,3.15640481,,4.84489808,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,All,Age45_49,[45-49],529.00000000,5.40568159,,13.09354733,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,All,Age50_54,[50-54],1142.00000000,8.18814082,,31.13742675,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,All,Age55_59,[55-59],2270.00000000,9.97582949,,58.08394127,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,All,Age60_64,[60-64],3471.00000000,11.74818074,,111.46764773,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,All,Age65_69,[65-69],4571.00000000,11.01260028,,168.57896160,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,All,Age70_74,[70-74],5664.00000000,9.57403651,,242.63568150,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,All,Age75_79,[75-79],6636.00000000,7.82150560,,341.15112285,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,All,Age80_84,[80-84],5335.00000000,4.88839613,,361.73194680,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,All,Age85_over,[85+],3573.00000000,1.91648564,,304.26274404,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,All,Age_unknown,[Unknown],0.00000000,,,,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,Male,Age00,[0],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,Male,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,Male,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,Male,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,Male,Age15_19,[15-19],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,Male,Age20_24,[20-24],2.00000000,0.13802622,,0.10001200,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,Male,Age25_29,[25-29],2.00000000,0.13586957,,0.10648074,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,Male,Age30_34,[30-34],9.00000000,0.41133455,,0.43400224,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,Male,Age35_39,[35-39],34.00000000,1.09606705,,1.47439027,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,Male,Age40_44,[40-44],133.00000000,3.05606618,,5.84560140,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,Male,Age45_49,[45-49],297.00000000,5.02028398,,14.83842603,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2005,Male,Age50_54,[50-54],650.00000000,7.80780781,,35.82566021,
