Indicator Code: CG0670
"Indicator Name: Trachea, bronchus, lung cancers"
Export date: 10/10/2024 5:21:41 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: C33-C34"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2000,All,Age00,[0],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2000,All,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2000,All,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2000,All,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2000,All,Age15_19,[15-19],1.00000000,0.06706908,,0.02718581,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2000,All,Age20_24,[20-24],3.00000000,0.14807502,,0.08439856,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2000,All,Age25_29,[25-29],6.00000000,0.22197558,,0.14495096,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2000,All,Age30_34,[30-34],24.00000000,0.65663475,,0.50744732,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2000,All,Age35_39,[35-39],70.00000000,1.39832201,,1.45158016,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2000,All,Age40_44,[40-44],236.00000000,3.58444714,,5.66659167,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2000,All,Age45_49,[45-49],548.00000000,5.69587361,,14.51307315,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2000,All,Age50_54,[50-54],1310.00000000,8.03286730,,32.24874168,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2000,All,Age55_59,[55-59],2158.00000000,10.05873031,,66.30197508,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2000,All,Age60_64,[60-64],3337.00000000,10.54844318,,115.57082185,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2000,All,Age65_69,[65-69],4941.00000000,10.49757797,,191.01388127,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2000,All,Age70_74,[70-74],6709.00000000,9.39306965,,287.20206371,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2000,All,Age75_79,[75-79],6941.00000000,6.90873620,,347.98137214,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2000,All,Age80_84,[80-84],4323.00000000,4.35264149,,347.14610250,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2000,All,Age85_over,[85+],3162.00000000,1.71664966,,271.09216190,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2000,All,Age_unknown,[Unknown],0.00000000,0.00000000,,,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2000,Male,Age00,[0],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2000,Male,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2000,Male,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2000,Male,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2000,Male,Age15_19,[15-19],1.00000000,0.09596929,,0.05289018,
